dag,mengde
1,Lite eller ingen regn
2,Lite eller ingen regn
3,Mye regn
4,Lite eller ingen regn
5,Lite eller ingen regn
6,Mye regn
7,Mye regn
8,Mye regn
9,Lite eller ingen regn
10,Lite eller ingen regn
11,Lite eller ingen regn
12,Lite eller ingen regn
13,Lite eller ingen regn
14,Lite eller ingen regn
15,Mye regn
16,Lite eller ingen regn
17,Lite eller ingen regn
18,Lite eller ingen regn
19,Lite eller ingen regn
20,Mye regn
21,Lite eller ingen regn
22,Mye regn
23,Mye regn
24,Mye regn
25,Mye regn
26,Lite eller ingen regn
27,Mye regn
28,Mye regn
29,Mye regn
30,Mye regn
31,Lite eller ingen regn
32,Lite eller ingen regn
33,Mye regn
34,Mye regn
35,Mye regn
36,Mye regn
37,Mye regn
38,Lite eller ingen regn
39,Mye regn
40,Mye regn
41,Lite eller ingen regn
42,Mye regn
43,Mye regn
44,Lite eller ingen regn
45,Mye regn
46,Mye regn
47,Mye regn
48,Mye regn
49,Mye regn
50,Mye regn
51,Mye regn
52,Lite eller ingen regn
53,Lite eller ingen regn
54,Mye regn
55,Mye regn
56,Mye regn
57,Lite eller ingen regn
58,Lite eller ingen regn
59,Lite eller ingen regn
60,Lite eller ingen regn
61,Mye regn
62,Mye regn
63,Lite eller ingen regn
64,Lite eller ingen regn
65,Mye regn
66,Lite eller ingen regn
67,Lite eller ingen regn
68,Lite eller ingen regn
69,Lite eller ingen regn
70,Mye regn
71,Lite eller ingen regn
72,Lite eller ingen regn
73,Lite eller ingen regn
74,Mye regn
75,Mye regn
76,Mye regn
77,Mye regn
78,Mye regn
79,Mye regn
80,Lite eller ingen regn
81,Mye regn
82,Mye regn
83,Mye regn
84,Mye regn
85,Mye regn
86,Mye regn
87,Mye regn
88,Mye regn
89,Lite eller ingen regn
90,Lite eller ingen regn
91,Mye regn
92,Mye regn
93,Mye regn
94,Lite eller ingen regn
95,Mye regn
96,Mye regn
97,Mye regn
98,Mye regn
99,Mye regn
100,Mye regn
101,Lite eller ingen regn
102,Mye regn
103,Lite eller ingen regn
104,Mye regn
105,Lite eller ingen regn
106,Mye regn
107,Mye regn
108,Lite eller ingen regn
109,Mye regn
110,Mye regn
111,Lite eller ingen regn
112,Mye regn
113,Mye regn
114,Mye regn
115,Mye regn
116,Mye regn
117,Mye regn
118,Lite eller ingen regn
119,Mye regn
120,Mye regn
121,Lite eller ingen regn
122,Mye regn
123,Mye regn
124,Lite eller ingen regn
125,Mye regn
126,Mye regn
127,Lite eller ingen regn
128,Mye regn
129,Lite eller ingen regn
130,Mye regn
131,Mye regn
132,Lite eller ingen regn
133,Mye regn
134,Mye regn
135,Lite eller ingen regn
136,Lite eller ingen regn
137,Mye regn
138,Lite eller ingen regn
139,Mye regn
140,Mye regn
141,Lite eller ingen regn
142,Mye regn
143,Mye regn
144,Mye regn
145,Lite eller ingen regn
146,Mye regn
147,Mye regn
148,Lite eller ingen regn
149,Mye regn
150,Mye regn
151,Mye regn
152,Mye regn
153,Mye regn
154,Mye regn
155,Lite eller ingen regn
156,Mye regn
157,Mye regn
158,Lite eller ingen regn
159,Lite eller ingen regn
160,Mye regn
161,Mye regn
162,Mye regn
163,Mye regn
164,Mye regn
165,Mye regn
166,Mye regn
167,Lite eller ingen regn
168,Lite eller ingen regn
169,Lite eller ingen regn
170,Mye regn
171,Lite eller ingen regn
172,Lite eller ingen regn
173,Mye regn
174,Mye regn
175,Mye regn
176,Mye regn
177,Mye regn
178,Mye regn
179,Mye regn
180,Mye regn
181,Mye regn
182,Mye regn
183,Mye regn
184,Mye regn
185,Mye regn
186,Mye regn
187,Mye regn
188,Mye regn
189,Mye regn
190,Lite eller ingen regn
191,Mye regn
192,Mye regn
193,Lite eller ingen regn
194,Mye regn
195,Lite eller ingen regn
196,Mye regn
197,Mye regn
198,Mye regn
199,Lite eller ingen regn
200,Lite eller ingen regn
201,Mye regn
202,Mye regn
203,Lite eller ingen regn
204,Mye regn
205,Lite eller ingen regn
206,Lite eller ingen regn
207,Mye regn
208,Mye regn
209,Mye regn
210,Lite eller ingen regn
211,Lite eller ingen regn
212,Mye regn
213,Lite eller ingen regn
